,SubBasin:,30,36,39,43,
time,day,maximum,maximum,maximum,maximum,
551,2004-04-03,2.6,0.679745,0.6,0.6,
552,2004-04-04,0,0.800639,1,1,
553,2004-04-05,0,0,0,0,
554,2004-04-06,2.6,1.56013,1.6,1.6,
555,2004-04-07,0,0,0,0,
556,2004-04-08,0,0,0,0,
557,2004-04-09,0,0,0,0,
558,2004-04-10,0,0,0,0,
559,2004-04-11,0,0,0,0,
560,2004-04-12,1,0.960766,1.2,1.2,
561,2004-04-13,0,6.08485,7.6,7.6,
562,2004-04-14,0,0,0,0,
563,2004-04-15,0,0,0,0,
564,2004-04-16,1.4,0.677828,0,0,
565,2004-04-17,8.6,8.68102,9,9,
566,2004-04-18,13,11.9171,11,11,
567,2004-04-19,1.6,0.160128,0.2,0.2,
568,2004-04-20,2.8,0.518339,0,0,
569,2004-04-21,6.2,10.2817,10.8,10.8,
570,2004-04-22,0,0.160128,0.2,0.2,
571,2004-04-23,0,0,0,0,
572,2004-04-24,0,0,0,0,
573,2004-04-25,1.8,4.23987,4.2,4.2,
574,2004-04-26,2.6,4.71578,3.4,3.4,
575,2004-04-27,0,0.640511,0.8,0.8,
576,2004-04-28,0.8,0.318978,0,0,
577,2004-04-29,0,0,0,0,
578,2004-04-30,9.4,1.55566,0.2,0.2,
579,2004-05-01,13.8,6.63604,5.4,5.4,
580,2004-05-02,6.2,19.0906,22.4,22.4,
581,2004-05-03,0,0,0,0,
582,2004-05-04,9,2.51642,1.4,1.4,
583,2004-05-05,0,3.68294,4.6,4.6,
584,2004-05-06,1.4,1.4,1.4,1.4,
585,2004-05-07,0,0,0,0,
586,2004-05-08,16.2,15.1936,13.2,13.2,
587,2004-05-09,10.4,11.2057,13,13,
588,2004-05-10,2.4,6.08166,6.6,6.6,
589,2004-05-11,0,0.160128,0.2,0.2,
590,2004-05-12,0,0,0,0,
591,2004-05-13,9,4.28102,4.6,4.6,
592,2004-05-14,6.2,11.436,10.2,10.2,
593,2004-05-15,0,0.480383,0.6,0.6,
594,2004-05-16,0,0,0,0,
595,2004-05-17,0,0,0,0,
596,2004-05-18,0.6,0.159489,0,0,
597,2004-05-19,0,0.160128,0.2,0.2,
598,2004-05-20,0,0.159489,0,0,
599,2004-05-21,3,0.758212,0.2,0.2,
600,2004-05-22,27.2,27.6214,21.8,21.8,
601,2004-05-23,36.8,16.2006,16.4,16.4,
602,2004-05-24,4,14.0849,15.6,15.6,
603,2004-05-25,0.4,0.320255,0.4,0.4,
604,2004-05-26,0,0.160128,0.2,0.2,
605,2004-05-27,4.2,0,0,0,
606,2004-05-28,0,0,0,0,
607,2004-05-29,0,0,0,0,
608,2004-05-30,0,0,0,0,
609,2004-05-31,3.6,6.36077,6.6,6.6,
610,2004-06-01,0.8,2.07719,1.2,1.2,
611,2004-06-02,2.4,3.44179,4,4,
612,2004-06-03,0,0.160128,0.2,0.2,
613,2004-06-04,0,0,0,0,
614,2004-06-05,0,0,0,0,
615,2004-06-06,0,0,0,0,
